exp,algoritme,w,seed,h1_final,h2_final,h_combinada,temps_ms
7,SA,8,88,2844.5389,6906.6221,58097.5160,547
7,HC,8,99,2522.2841,9726.5250,80334.4841,205
7,SA,8,99,2521.5870,6893.4600,57669.2666,658
7,HC,8,110,2859.4312,10180.5028,84303.4535,216
7,SA,8,110,2898.1612,9112.1359,75795.2482,598
7,HC,16,11,2948.6924,13293.2226,215640.2543,331
7,SA,16,11,2901.5922,7293.4640,119597.0155,611
7,HC,16,22,3332.5134,8041.6135,131998.3294,420
7,SA,16,22,3061.6956,7114.8288,116898.9559,520
7,HC,16,33,2470.6076,9632.0253,156583.0121,200
7,SA,16,33,2474.7002,7352.6745,120117.4919,500
7,HC,16,44,2639.9975,8919.5494,145352.7879,368
7,SA,16,44,2648.1482,6940.8355,113701.5157,481
7,HC,16,55,2947.9332,8500.0648,138948.9698,686
7,SA,16,55,2790.1023,6935.3951,113756.4234,514
7,HC,16,66,2880.9546,8589.7546,140317.0278,389
7,SA,16,66,2775.5336,6274.3376,103164.9357,511
7,HC,16,77,2572.6680,8752.8814,142618.7696,539
7,SA,16,77,2602.0845,7329.7868,119878.6733,635
7,HC,16,88,2969.5129,10775.3439,175375.0147,299
7,SA,16,88,2867.4508,6688.8879,109889.6569,498
7,HC,16,99,2522.2841,9726.5250,158146.6841,198
7,SA,16,99,2495.9240,7147.2548,116852.0014,500
7,HC,16,110,2859.4312,10180.5028,165747.4757,213
7,SA,16,110,2969.1611,8548.4302,139744.0444,553
