exp,k,lambda,steps,stiter,seed,h_inicial,h_final,temps_ms
3,10,0,010000,150000,100,11,2769,2701,213
3,10,0,010000,150000,100,22,2847,2832,161
3,10,0,010000,150000,100,33,2460,2347,134
3,10,0,010000,150000,100,44,2546,2501,127
3,10,0,010000,150000,100,55,2825,2688,141
3,10,0,010000,150000,100,66,2683,2624,136
3,10,0,010000,150000,100,77,2529,2447,131
3,10,0,010000,150000,100,88,2872,2737,128
3,10,0,010000,150000,100,99,2537,2445,130
3,10,0,010000,150000,100,110,2800,2769,130
3,10,0,001000,150000,100,11,2769,2681,263
3,10,0,001000,150000,100,22,2847,2813,272
3,10,0,001000,150000,100,33,2460,2381,277
3,10,0,001000,150000,100,44,2546,2507,268
3,10,0,001000,150000,100,55,2825,2688,267
3,10,0,001000,150000,100,66,2683,2551,264
3,10,0,001000,150000,100,77,2529,2463,263
3,10,0,001000,150000,100,88,2872,2693,257
3,10,0,001000,150000,100,99,2537,2402,256
3,10,0,001000,150000,100,110,2800,2727,275
3,10,0,000800,150000,100,11,2769,2677,267
3,10,0,000800,150000,100,22,2847,2829,261
3,10,0,000800,150000,100,33,2460,2386,261
3,10,0,000800,150000,100,44,2546,2457,256
3,10,0,000800,150000,100,55,2825,2705,260
3,10,0,000800,150000,100,66,2683,2608,268
3,10,0,000800,150000,100,77,2529,2458,261
3,10,0,000800,150000,100,88,2872,2683,268
3,10,0,000800,150000,100,99,2537,2393,248
3,10,0,000800,150000,100,110,2800,2761,282
3,10,0,000500,150000,100,11,2769,2715,267
3,10,0,000500,150000,100,22,2847,2825,265
3,10,0,000500,150000,100,33,2460,2377,270
3,10,0,000500,150000,100,44,2546,2499,255
3,10,0,000500,150000,100,55,2825,2743,264
3,10,0,000500,150000,100,66,2683,2597,274
3,10,0,000500,150000,100,77,2529,2489,253
3,10,0,000500,150000,100,88,2872,2703,261
3,10,0,000500,150000,100,99,2537,2401,257
3,10,0,000500,150000,100,110,2800,2728,264
3,10,0,000100,150000,100,11,2769,2680,272
3,10,0,000100,150000,100,22,2847,2847,267
3,10,0,000100,150000,100,33,2460,2390,269
3,10,0,000100,150000,100,44,2546,2478,264
3,10,0,000100,150000,100,55,2825,2703,282
3,10,0,000100,150000,100,66,2683,2600,275
3,10,0,000100,150000,100,77,2529,2463,262
3,10,0,000100,150000,100,88,2872,2695,270
3,10,0,000100,150000,100,99,2537,2440,259
3,10,0,000100,150000,100,110,2800,2724,271
3,30,0,010000,150000,100,11,2769,2669,133
3,30,0,010000,150000,100,22,2847,2847,135
3,30,0,010000,150000,100,33,2460,2359,143
3,30,0,010000,150000,100,44,2546,2476,130
3,30,0,010000,150000,100,55,2825,2715,135
3,30,0,010000,150000,100,66,2683,2621,131
3,30,0,010000,150000,100,77,2529,2434,129
3,30,0,010000,150000,100,88,2872,2758,129
3,30,0,010000,150000,100,99,2537,2424,135
3,30,0,010000,150000,100,110,2800,2758,135
3,30,0,001000,150000,100,11,2769,2677,265
3,30,0,001000,150000,100,22,2847,2847,278
3,30,0,001000,150000,100,33,2460,2375,270
3,30,0,001000,150000,100,44,2546,2536,262
3,30,0,001000,150000,100,55,2825,2821,267
3,30,0,001000,150000,100,66,2683,2595,275
3,30,0,001000,150000,100,77,2529,2463,288
3,30,0,001000,150000,100,88,2872,2754,269
3,30,0,001000,150000,100,99,2537,2410,258
3,30,0,001000,150000,100,110,2800,2748,270
3,30,0,000800,150000,100,11,2769,2701,263
3,30,0,000800,150000,100,22,2847,2838,271
3,30,0,000800,150000,100,33,2460,2375,272
3,30,0,000800,150000,100,44,2546,2485,257
3,30,0,000800,150000,100,55,2825,2737,262
3,30,0,000800,150000,100,66,2683,2611,270
3,30,0,000800,150000,100,77,2529,2502,258
3,30,0,000800,150000,100,88,2872,2747,261
3,30,0,000800,150000,100,99,2537,2428,258
3,30,0,000800,150000,100,110,2800,2746,269
3,30,0,000500,150000,100,11,2769,2721,271
3,30,0,000500,150000,100,22,2847,2847,274
3,30,0,000500,150000,100,33,2460,2392,262
3,30,0,000500,150000,100,44,2546,2507,260
3,30,0,000500,150000,100,55,2825,2696,267
3,30,0,000500,150000,100,66,2683,2592,272
3,30,0,000500,150000,100,77,2529,2489,261
3,30,0,000500,150000,100,88,2872,2734,263
3,30,0,000500,150000,100,99,2537,2443,260
3,30,0,000500,150000,100,110,2800,2790,269
3,30,0,000100,150000,100,11,2769,2684,270
3,30,0,000100,150000,100,22,2847,2847,282
3,30,0,000100,150000,100,33,2460,2395,266
3,30,0,000100,150000,100,44,2546,2464,268
3,30,0,000100,150000,100,55,2825,2705,275
3,30,0,000100,150000,100,66,2683,2609,281
3,30,0,000100,150000,100,77,2529,2465,271
3,30,0,000100,150000,100,88,2872,2696,289
3,30,0,000100,150000,100,99,2537,2427,265
3,30,0,000100,150000,100,110,2800,2735,287
3,50,0,010000,150000,100,11,2769,2674,130
3,50,0,010000,150000,100,22,2847,2847,135
3,50,0,010000,150000,100,33,2460,2430,136
3,50,0,010000,150000,100,44,2546,2543,142
3,50,0,010000,150000,100,55,2825,2765,138
3,50,0,010000,150000,100,66,2683,2586,133
3,50,0,010000,150000,100,77,2529,2524,132
3,50,0,010000,150000,100,88,2872,2733,137
3,50,0,010000,150000,100,99,2537,2362,125
3,50,0,010000,150000,100,110,2800,2799,137
3,50,0,001000,150000,100,11,2769,2718,264
3,50,0,001000,150000,100,22,2847,2847,273
3,50,0,001000,150000,100,33,2460,2426,262
3,50,0,001000,150000,100,44,2546,2499,256
3,50,0,001000,150000,100,55,2825,2722,256
3,50,0,001000,150000,100,66,2683,2663,271
3,50,0,001000,150000,100,77,2529,2519,260
3,50,0,001000,150000,100,88,2872,2746,267
3,50,0,001000,150000,100,99,2537,2434,268
3,50,0,001000,150000,100,110,2800,2750,268
3,50,0,000800,150000,100,11,2769,2745,261
3,50,0,000800,150000,100,22,2847,2847,266
3,50,0,000800,150000,100,33,2460,2415,262
3,50,0,000800,150000,100,44,2546,2466,258
3,50,0,000800,150000,100,55,2825,2784,267
3,50,0,000800,150000,100,66,2683,2643,280
3,50,0,000800,150000,100,77,2529,2480,258
3,50,0,000800,150000,100,88,2872,2721,262
3,50,0,000800,150000,100,99,2537,2495,257
3,50,0,000800,150000,100,110,2800,2750,268
3,50,0,000500,150000,100,11,2769,2769,273
3,50,0,000500,150000,100,22,2847,2847,268
3,50,0,000500,150000,100,33,2460,2426,268
3,50,0,000500,150000,100,44,2546,2496,265
3,50,0,000500,150000,100,55,2825,2718,261
3,50,0,000500,150000,100,66,2683,2625,274
3,50,0,000500,150000,100,77,2529,2481,262
3,50,0,000500,150000,100,88,2872,2771,270
3,50,0,000500,150000,100,99,2537,2443,256
3,50,0,000500,150000,100,110,2800,2734,269
3,50,0,000100,150000,100,11,2769,2656,280
3,50,0,000100,150000,100,22,2847,2842,279
3,50,0,000100,150000,100,33,2460,2409,284
3,50,0,000100,150000,100,44,2546,2494,264
3,50,0,000100,150000,100,55,2825,2737,271
3,50,0,000100,150000,100,66,2683,2590,286
3,50,0,000100,150000,100,77,2529,2442,271
3,50,0,000100,150000,100,88,2872,2710,288
3,50,0,000100,150000,100,99,2537,2390,267
3,50,0,000100,150000,100,110,2800,2693,296
3,70,0,010000,150000,100,11,2769,2661,127
3,70,0,010000,150000,100,22,2847,2847,134
3,70,0,010000,150000,100,33,2460,2392,130
3,70,0,010000,150000,100,44,2546,2501,128
3,70,0,010000,150000,100,55,2825,2712,133
3,70,0,010000,150000,100,66,2683,2632,131
3,70,0,010000,150000,100,77,2529,2473,128
3,70,0,010000,150000,100,88,2872,2787,131
3,70,0,010000,150000,100,99,2537,2423,129
3,70,0,010000,150000,100,110,2800,2761,135
3,70,0,001000,150000,100,11,2769,2731,259
3,70,0,001000,150000,100,22,2847,2847,271
3,70,0,001000,150000,100,33,2460,2414,267
3,70,0,001000,150000,100,44,2546,2491,260
3,70,0,001000,150000,100,55,2825,2721,263
3,70,0,001000,150000,100,66,2683,2603,272
3,70,0,001000,150000,100,77,2529,2496,260
3,70,0,001000,150000,100,88,2872,2761,266
3,70,0,001000,150000,100,99,2537,2423,266
3,70,0,001000,150000,100,110,2800,2736,277
3,70,0,000800,150000,100,11,2769,2690,261
3,70,0,000800,150000,100,22,2847,2847,279
3,70,0,000800,150000,100,33,2460,2443,256
3,70,0,000800,150000,100,44,2546,2523,262
3,70,0,000800,150000,100,55,2825,2721,267
3,70,0,000800,150000,100,66,2683,2672,269
3,70,0,000800,150000,100,77,2529,2483,270
3,70,0,000800,150000,100,88,2872,2733,262
3,70,0,000800,150000,100,99,2537,2510,264
3,70,0,000800,150000,100,110,2800,2773,269
3,70,0,000500,150000,100,11,2769,2701,271
3,70,0,000500,150000,100,22,2847,2839,273
3,70,0,000500,150000,100,33,2460,2408,267
3,70,0,000500,150000,100,44,2546,2499,266
3,70,0,000500,150000,100,55,2825,2773,261
3,70,0,000500,150000,100,66,2683,2603,270
3,70,0,000500,150000,100,77,2529,2495,266
3,70,0,000500,150000,100,88,2872,2802,266
3,70,0,000500,150000,100,99,2537,2459,286
3,70,0,000500,150000,100,110,2800,2771,267
3,70,0,000100,150000,100,11,2769,2727,280
3,70,0,000100,150000,100,22,2847,2829,289
3,70,0,000100,150000,100,33,2460,2397,275
3,70,0,000100,150000,100,44,2546,2481,282
3,70,0,000100,150000,100,55,2825,2752,272
3,70,0,000100,150000,100,66,2683,2612,305
3,70,0,000100,150000,100,77,2529,2464,269
3,70,0,000100,150000,100,88,2872,2695,276
3,70,0,000100,150000,100,99,2537,2431,281
3,70,0,000100,150000,100,110,2800,2702,291
3,90,0,010000,150000,100,11,2769,2750,146
3,90,0,010000,150000,100,22,2847,2847,137
3,90,0,010000,150000,100,33,2460,2413,131
3,90,0,010000,150000,100,44,2546,2521,130
3,90,0,010000,150000,100,55,2825,2777,133
3,90,0,010000,150000,100,66,2683,2627,137
3,90,0,010000,150000,100,77,2529,2482,130
3,90,0,010000,150000,100,88,2872,2774,128
3,90,0,010000,150000,100,99,2537,2425,129
3,90,0,010000,150000,100,110,2800,2730,133
3,90,0,001000,150000,100,11,2769,2741,263
3,90,0,001000,150000,100,22,2847,2847,270
3,90,0,001000,150000,100,33,2460,2430,266
3,90,0,001000,150000,100,44,2546,2504,260
3,90,0,001000,150000,100,55,2825,2721,269
3,90,0,001000,150000,100,66,2683,2635,276
3,90,0,001000,150000,100,77,2529,2454,266
3,90,0,001000,150000,100,88,2872,2767,275
3,90,0,001000,150000,100,99,2537,2422,256
3,90,0,001000,150000,100,110,2800,2800,269
3,90,0,000800,150000,100,11,2769,2670,260
3,90,0,000800,150000,100,22,2847,2847,269
3,90,0,000800,150000,100,33,2460,2376,273
3,90,0,000800,150000,100,44,2546,2502,259
3,90,0,000800,150000,100,55,2825,2751,265
3,90,0,000800,150000,100,66,2683,2622,272
3,90,0,000800,150000,100,77,2529,2493,262
3,90,0,000800,150000,100,88,2872,2751,263
3,90,0,000800,150000,100,99,2537,2433,260
3,90,0,000800,150000,100,110,2800,2725,277
3,90,0,000500,150000,100,11,2769,2681,257
3,90,0,000500,150000,100,22,2847,2847,273
3,90,0,000500,150000,100,33,2460,2420,268
3,90,0,000500,150000,100,44,2546,2497,262
3,90,0,000500,150000,100,55,2825,2709,275
3,90,0,000500,150000,100,66,2683,2594,263
3,90,0,000500,150000,100,77,2529,2505,274
3,90,0,000500,150000,100,88,2872,2785,265
3,90,0,000500,150000,100,99,2537,2423,260
3,90,0,000500,150000,100,110,2800,2751,276
3,90,0,000100,150000,100,11,2769,2709,281
3,90,0,000100,150000,100,22,2847,2832,288
3,90,0,000100,150000,100,33,2460,2389,279
3,90,0,000100,150000,100,44,2546,2497,274
3,90,0,000100,150000,100,55,2825,2714,288
3,90,0,000100,150000,100,66,2683,2594,284
3,90,0,000100,150000,100,77,2529,2453,296
3,90,0,000100,150000,100,88,2872,2724,278
3,90,0,000100,150000,100,99,2537,2415,274
3,90,0,000100,150000,100,110,2800,2716,288
3,100,0,010000,150000,100,11,2769,2712,131
3,100,0,010000,150000,100,22,2847,2847,133
3,100,0,010000,150000,100,33,2460,2387,131
3,100,0,010000,150000,100,44,2546,2543,131
3,100,0,010000,150000,100,55,2825,2741,134
3,100,0,010000,150000,100,66,2683,2615,136
3,100,0,010000,150000,100,77,2529,2475,134
3,100,0,010000,150000,100,88,2872,2771,134
3,100,0,010000,150000,100,99,2537,2519,136
3,100,0,010000,150000,100,110,2800,2715,135
3,100,0,001000,150000,100,11,2769,2740,262
3,100,0,001000,150000,100,22,2847,2847,267
3,100,0,001000,150000,100,33,2460,2455,264
3,100,0,001000,150000,100,44,2546,2503,265
3,100,0,001000,150000,100,55,2825,2728,259
3,100,0,001000,150000,100,66,2683,2635,281
3,100,0,001000,150000,100,77,2529,2486,261
3,100,0,001000,150000,100,88,2872,2771,268
3,100,0,001000,150000,100,99,2537,2455,266
3,100,0,001000,150000,100,110,2800,2783,269
3,100,0,000800,150000,100,11,2769,2699,266
3,100,0,000800,150000,100,22,2847,2847,268
3,100,0,000800,150000,100,33,2460,2441,262
3,100,0,000800,150000,100,44,2546,2546,259
3,100,0,000800,150000,100,55,2825,2702,265
3,100,0,000800,150000,100,66,2683,2608,274
3,100,0,000800,150000,100,77,2529,2511,260
3,100,0,000800,150000,100,88,2872,2727,265
3,100,0,000800,150000,100,99,2537,2420,263
3,100,0,000800,150000,100,110,2800,2748,270
3,100,0,000500,150000,100,11,2769,2737,270
3,100,0,000500,150000,100,22,2847,2847,266
3,100,0,000500,150000,100,33,2460,2416,269
3,100,0,000500,150000,100,44,2546,2522,258
3,100,0,000500,150000,100,55,2825,2721,275
3,100,0,000500,150000,100,66,2683,2631,274
3,100,0,000500,150000,100,77,2529,2477,260
3,100,0,000500,150000,100,88,2872,2731,265
3,100,0,000500,150000,100,99,2537,2444,266
3,100,0,000500,150000,100,110,2800,2732,269
3,100,0,000100,150000,100,11,2769,2667,287
3,100,0,000100,150000,100,22,2847,2832,283
3,100,0,000100,150000,100,33,2460,2389,295
3,100,0,000100,150000,100,44,2546,2505,276
3,100,0,000100,150000,100,55,2825,2715,275
3,100,0,000100,150000,100,66,2683,2554,302
3,100,0,000100,150000,100,77,2529,2443,284
3,100,0,000100,150000,100,88,2872,2742,292
3,100,0,000100,150000,100,99,2537,2419,273
3,100,0,000100,150000,100,110,2800,2672,301
3,500,0,010000,150000,100,11,2769,2707,142
3,500,0,010000,150000,100,22,2847,2847,141
3,500,0,010000,150000,100,33,2460,2408,131
3,500,0,010000,150000,100,44,2546,2546,127
3,500,0,010000,150000,100,55,2825,2730,132
