exp,operador,num_centres,heli_per_centre,seed,h_ini,h_fin,temps_ms,nodes
1,SwapGroups,5,1,523,4517,2460,2726,7415,337,75
1,SwapGroups,5,1,87,4418,8254,2871,2911,180,63
1,SwapGroups,5,1,999,4265,3789,2685,0463,190,75
1,SwapGroups,5,1,341,4155,5744,2561,1513,165,65
1,SwapGroups,5,1,712,4103,5864,2951,6537,205,81
1,SwapGroups,5,1,65,4567,4414,2658,3278,188,74
1,SwapGroups,5,1,488,4668,4073,3052,7839,181,69
1,SwapGroups,5,1,230,3869,4869,2462,1137,163,65
1,SwapGroups,5,1,901,4760,2223,3041,4911,197,77
1,SwapGroups,5,1,144,4665,0382,2751,0887,184,72
1,SwapGroups,5,1,378,4473,6170,3093,4399,142,57
1,SwapGroups,5,1,654,4545,5255,2694,8600,198,78
1,SwapGroups,5,1,29,4530,4672,2842,2888,186,73
1,SwapGroups,5,1,810,4620,2428,2678,5637,206,81
1,SwapGroups,5,1,472,4392,2005,2680,7366,149,59
1,SwapGroups,5,1,193,4147,7724,2733,7293,151,61
1,SwapGroups,5,1,556,4440,7190,2838,3877,210,84
1,SwapGroups,5,1,721,4210,5449,2677,2341,159,61
1,SwapGroups,5,1,88,4444,4703,2822,2027,189,75
1,SwapGroups,5,1,402,4507,4752,2663,7383,169,69
1,SwapGroups,5,1,615,4187,3939,2484,9707,203,81
1,SwapGroups,5,1,777,4327,6278,2839,8564,181,69
1,SwapGroups,5,1,5,4526,0580,2837,8161,172,70
1,SwapGroups,5,1,268,4432,0882,2818,8337,172,67
1,SwapGroups,5,1,349,4603,3381,2961,2801,181,69
1,SwapGroups,5,1,920,4139,7681,2678,0536,152,61
1,SwapGroups,5,1,431,4427,7263,2749,4779,157,61
1,SwapGroups,5,1,602,4533,1293,2902,3000,210,84
1,SwapGroups,5,1,118,4385,3179,2593,9163,183,73
1,SwapGroups,5,1,745,4437,4849,2870,4720,208,82
1,SwapGroups,5,1,864,4119,7239,2596,3615,145,58
1,SwapGroups,5,1,52,4254,2701,2776,0892,164,65
1,SwapGroups,5,1,390,4349,5594,2857,6957,176,70
1,SwapGroups,5,1,281,4484,0864,2458,9628,191,77
1,SwapGroups,5,1,973,4322,7746,2414,7337,186,75
1,SwapGroups,5,1,167,4689,6963,2967,2047,188,73
1,SwapGroups,5,1,459,4332,5322,2728,2887,190,75
1,SwapGroups,5,1,630,4713,9477,2845,9023,171,67
1,SwapGroups,5,1,204,4554,3383,2820,6542,169,67
1,SwapGroups,5,1,851,4395,1433,2581,0792,174,69
1,SwapGroups,5,1,76,4413,9236,2838,4049,156,62
1,SwapGroups,5,1,538,4545,9297,2753,2208,192,76
1,SwapGroups,5,1,692,4319,4812,2991,1819,184,72
1,SwapGroups,5,1,314,4529,3573,2750,2070,180,71
1,SwapGroups,5,1,947,4366,4778,2677,7212,142,56
1,SwapGroups,5,1,183,4456,5349,2654,8652,146,58
1,SwapGroups,5,1,420,4510,3594,2822,5250,152,60
1,SwapGroups,5,1,559,4718,1740,2807,6881,200,80
