exp,k,lambda,steps,stiter,seed,h_final,temps_ms
5000       2768 -> 2769
5000       2846 -> 2847
5000       2460 -> 2445
5000       2545 -> 2546
5000       2825 -> 2767
5000       2683 -> 2656
5000       2528 -> 2529
5000       2871 -> 2809
5000       2536 -> 2537
5000       2799 -> 2800
10000      2768 -> 2726
10000      2846 -> 2847
10000      2460 -> 2453
10000      2545 -> 2501
10000      2825 -> 2807
10000      2683 -> 2657
10000      2528 -> 2509
10000      2871 -> 2774
10000      2536 -> 2452
10000      2799 -> 2765
20000      2768 -> 2690
20000      2846 -> 2840
20000      2460 -> 2391
20000      2545 -> 2546
20000      2825 -> 2788
20000      2683 -> 2607
20000      2528 -> 2522
20000      2871 -> 2795
20000      2536 -> 2451
20000      2799 -> 2743
50000      2768 -> 2683
50000      2846 -> 2847
50000      2460 -> 2365
50000      2545 -> 2494
50000      2825 -> 2750
50000      2683 -> 2625
50000      2528 -> 2445
50000      2871 -> 2716
50000      2536 -> 2403
50000      2799 -> 2750
75000      2768 -> 2707
75000      2846 -> 2834
75000      2460 -> 2347
75000      2545 -> 2468
75000      2825 -> 2722
75000      2683 -> 2587
75000      2528 -> 2446
75000      2871 -> 2730
75000      2536 -> 2429
75000      2799 -> 2726
100000     2768 -> 2653
100000     2846 -> 2813
100000     2460 -> 2363
100000     2545 -> 2508
100000     2825 -> 2747
100000     2683 -> 2633
100000     2528 -> 2465
100000     2871 -> 2708
100000     2536 -> 2373
100000     2799 -> 2703
150000     2768 -> 2680
150000     2846 -> 2828
150000     2460 -> 2368
150000     2545 -> 2519
150000     2825 -> 2763
150000     2683 -> 2608
150000     2528 -> 2424
150000     2871 -> 2742
150000     2536 -> 2406
150000     2799 -> 2715
200000     2768 -> 2697
200000     2846 -> 2847
200000     2460 -> 2405
200000     2545 -> 2457
200000     2825 -> 2783
200000     2683 -> 2575
200000     2528 -> 2415
200000     2871 -> 2702
200000     2536 -> 2416
200000     2799 -> 2734
