exp,estrategia,seed,h_inicial,h_final,temps_ms,nodes
2,Random,523,4272,2821,2794,6983,312,65
2,Random,87,4707,9563,2829,7115,292,81
2,Random,999,4336,5826,2654,9107,217,85
2,Random,341,4300,5430,2544,9820,217,84
2,Random,712,4443,8020,2931,7734,215,84
2,Random,65,4467,0968,2720,8268,222,86
2,Random,488,4668,0788,3017,7293,220,82
2,Random,230,3865,8572,2264,9827,212,84
2,Random,901,4811,9518,2998,1431,199,76
2,Random,144,4712,9947,2743,6847,186,71
2,Random,378,4403,7791,2995,6506,194,75
2,Random,654,4514,9466,2768,9471,202,78
2,Random,29,4601,2607,2822,1010,182,66
2,Random,810,4247,2202,2637,0590,187,73
2,Random,472,4467,7337,2669,8649,189,74
2,Random,193,4088,8925,2672,5475,195,76
2,Random,556,4331,4727,2862,7537,166,64
2,Random,721,4635,1035,2688,6604,182,69
2,Random,88,4416,2033,2856,3507,188,73
2,Random,402,4730,4489,2609,3639,179,69
2,Random,615,4126,2689,2542,4153,185,72
2,Random,777,4502,0994,2781,6361,202,78
2,Random,5,4414,5069,2880,3693,194,77
2,Random,268,4515,5914,2809,0094,189,72
2,Random,349,4548,3044,2967,9577,195,76
2,Random,920,4304,9087,2510,9468,234,83
2,Random,431,4517,4674,2773,3635,199,77
2,Random,602,4402,5981,2920,4823,183,68
2,Random,118,4278,6804,2628,9570,199,76
2,Random,745,4236,1285,2857,0517,182,71
2,Random,864,4457,2909,2580,5897,212,84
2,Random,52,4153,1334,2864,7491,170,67
2,Random,390,4895,5827,2854,3920,232,90
2,Random,281,4112,8141,2394,0652,211,83
2,Random,973,4481,7462,2455,1049,207,82
2,Random,167,4795,5994,2892,8684,222,84
2,Random,459,4343,7067,2722,2370,224,89
2,Random,630,4809,1098,2740,0620,255,96
2,Random,204,4480,9397,2733,0860,197,76
2,Random,851,4520,4452,2567,9251,190,73
2,Random,76,4319,4957,2785,4029,209,79
2,Random,538,4368,9971,2713,4146,233,90
2,Random,692,4101,2155,2959,0449,185,73
2,Random,314,4474,8960,2663,8382,199,76
2,Random,947,4417,6914,2622,7593,187,72
2,Random,183,4347,4682,2508,4386,191,72
2,Random,420,4795,9047,2907,1898,217,83
2,Random,559,4662,6340,2719,2997,182,70
2,Random,601,4514,7478,2977,8343,198,76
2,Random,732,4373,1814,2658,5266,252,97
2,Random,11,4436,0415,2793,0211,210,81
2,Random,298,4223,8130,2572,5606,197,76
2,Random,467,4700,5434,3073,2875,171,66
2,Random,825,4351,7545,2562,6881,186,71
2,Random,940,4604,7274,2767,8520,162,62
2,Random,156,4834,7291,2874,0111,200,76
2,Random,377,4395,5534,2822,6381,202,78
2,Random,688,4528,7509,2745,5228,180,69
2,Random,249,4341,3028,2716,2389,209,83
2,Random,563,4725,4447,2985,9034,176,68
2,Random,704,5181,7115,3426,6843,189,73
2,Random,92,4522,4112,2726,7471,195,74
2,Random,815,4566,4510,2756,8437,223,83
2,Random,333,4237,2321,2537,0311,168,67
2,Random,478,4523,2440,2675,9070,239,88
2,Random,690,4437,4163,2695,6344,205,78
2,Random,27,4149,5953,2617,8253,241,95
2,Random,954,4301,8511,2800,3864,160,61
2,Random,382,4164,0038,2622,7577,203,79
2,Random,611,3881,2742,2241,8091,215,87
2,Random,743,4491,7695,2859,7848,215,83
2,Random,159,4544,9600,2723,6838,234,91
2,Random,888,4255,9333,2383,8944,182,72
2,Random,266,4523,2968,2958,8316,213,82
2,Random,531,4096,5201,2584,8403,202,79
2,Random,679,4382,0486,3000,6275,149,55
2,Random,803,4479,1655,2743,9446,179,70
2,Random,47,4540,9608,3144,2205,206,80
2,Random,995,4571,5225,2873,6799,202,73
2,Random,214,4768,9572,2843,8543,266,92
2,Random,362,4315,0787,2972,8172,195,76
2,Random,580,4454,9081,3069,7174,194,73
2,Random,721,4436,8792,2645,6337,190,74
2,Random,134,4022,0727,2751,6718,176,67
2,Random,846,4301,8603,2717,7449,188,73
2,Random,271,4258,8462,2687,6622,236,92
2,Random,498,4369,2651,2596,4375,218,85
